time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,pressure_msl_mean,wind_speed_10m_min
2018-01-01,-22.0,-26.8,0.0,0.0,0.0,18.6,35.6,-24.8,72,19,1027.9,7.2
2018-01-02,-16.2,-29.3,1.9,0.0,1.33,12.0,23.0,-22.5,77,88,1022.6,1.1
2018-01-03,-7.9,-18.7,0.9,0.0,0.63,15.9,29.2,-13.0,78,96,1019.2,1.6
2018-01-04,-8.8,-12.9,2.2,0.0,1.54,24.7,46.4,-10.7,77,100,1007.8,6.9
2018-01-05,-11.5,-22.6,4.7,0.1,3.29,31.3,59.8,-19.5,64,100,1002.6,22.8
2018-01-06,-21.0,-24.6,1.2,0.0,0.84,30.4,58.7,-23.0,61,79,1019.7,16.4
2018-01-07,-14.1,-26.8,2.2,0.0,1.54,17.7,32.0,-21.3,71,53,1028.1,7.2
2018-01-08,-0.4,-13.5,8.9,0.0,6.23,23.4,44.3,-7.0,86,98,1011.7,10.7
2018-01-09,-1.0,-11.3,0.1,0.0,0.14,22.3,41.8,-3.8,76,71,1017.0,7.0
2018-01-10,-2.5,-16.2,0.2,0.2,0.0,19.8,35.3,-10.2,83,59,1027.0,5.4
2018-01-11,4.0,-1.9,4.2,4.2,0.0,20.2,35.6,1.9,86,100,1017.2,7.8
2018-01-12,7.4,-6.8,23.8,20.3,2.45,24.1,79.6,3.6,92,100,1006.6,11.0
2018-01-13,-8.4,-22.4,25.0,0.0,17.5,20.1,39.6,-14.6,73,66,1019.9,7.3
2018-01-14,-21.7,-31.7,0.0,0.0,0.0,12.8,16.9,-25.7,72,0,1041.0,3.3
2018-01-15,-18.6,-30.7,0.0,0.0,0.0,14.9,28.4,-24.3,75,74,1042.6,7.6
2018-01-16,-11.9,-19.5,1.1,0.0,0.77,12.6,24.1,-15.2,80,94,1032.0,1.8
2018-01-17,-8.5,-16.3,0.0,0.0,0.0,19.4,38.5,-12.3,84,53,1025.0,1.5
2018-01-18,-4.9,-8.6,0.0,0.0,0.0,20.6,38.5,-6.6,80,79,1013.5,11.4
2018-01-19,-2.1,-7.8,0.0,0.0,0.0,20.6,38.5,-4.5,84,95,1010.7,8.0
2018-01-20,2.7,-3.2,0.4,0.1,0.21,35.8,68.0,0.6,76,87,1004.2,9.5
